Date,"Gross Domestic Product, Nominal, National Currency","Gross Domestic Product, Deflator, Index","Household Consumption Expenditure, incl. NPISHs, Nominal, National Currency","External Sector, Exports of Goods and Services, Nominal, National Currency","External Sector, Imports of Goods and Services, Nominal, National Currency","Consumer Price Index, All items, Index","Producer Price Index, All Commodities, Percentage change, previous period, Percent","Real Effective Exchange Rate, Consumer Price Index","Interest Rates, Money Market Rate","Public Final Consumption Expend., Nominal",M2,International Reserves,Crude Oil income,Population,"Real wage, NSA",Employment in Manufacturing,Population,Bicurrency bundle,Y must be real and equal C+I+G,Y must be SA,Y must be per capita,Ymust be an index value,C must be real,C must be SA,C must be per capita,C must be an index value ,Inflaiton CPI,real exchange rate (US dollar),real exchange rate (Euro),real exchange rate weighted,real balances must be real and per capita,M must be an index value,Domestic Inflaiton ,"Real wage, must be SA",Crude Oil income,Oil imcome must be per capita,oil income 
2006 Q1,5790.0455999999995,61.76,2852.9154,2062.9262,1100.4658,65.8872622352123,1.67205283124926,85.1054324683733,3.16666666666667,1125.4236,6169.4,205881.39,45088,142754,141.38,113.055845264056,142.754,30.713705,7816.685880829015,8726.2864,61128.13931658658,1.0478631476563243,4619.357836787564,4914.433,34425.886490045814,1.0184733818257932,1.0466992231693875,0.9550289433313767,0.9003179480081412,0.930009215624555,65592.34852049362,1.17024293195231,1.0167205283124927,147.4426,41339.13769113821,289.5830427948654,0.120221418274924
2006 Q2,6402.226900000001,62.41,3133.9928,2288.7157,1343.7238,67.1177288813712,4.56053067993369,87.0589658884625,2.83333333333333,1165.2558999999999,7090.8,250560.73,49664,142590,153.68,112.6102209159,142.59,30.34505,8744.167601345938,9052.1618,63483.847394627956,1.0882448721650901,5021.619612241629,5115.5572,35875.98849849218,1.061373955989999,1.0186753342666786,0.9208457296448566,0.905169332848973,0.9137580318044115,74091.5899520512,1.3218791736265796,1.045605306799337,154.85796,44516.67734935352,312.20055648610366,0.154823386489483
2006 Q3,7307.894,65.28,3385.702,2373.8421000000003,1494.7709,67.9075488682075,4.83743061062648,88.341218667697,2.6,1179.3703,7750.7,266196.52,50623,142443,160.29,111.747416326918,142.443,30.11759,9848.074142156864,9317.72309999999,65413.6960047176,1.1213264817425637,5186.430759803921,5208.7053,36566.94467260588,1.0818155638349118,1.011767680462375,0.9021142072534802,0.8946072937486176,0.8987283322814513,80127.5309693249,1.4295673029964049,1.0483743061062647,162.01572,45063.45394834049,316.36130907338713,0.128850039224919
2006 Q4,7434.2143,63.9,3756.7207999999996,2353.8487,1714.4594,68.6486655225223,-2.45839636913767,88.6048677955661,5.1,1210.3599,8970.7,303731.97,45384,142318,176.8,111.718972219589,142.318,30.046585,10633.528951486696,9844.2978,69171.13646903413,1.1857368079211261,5879.062284820031,5436.9303,38202.689048468914,1.13020827862439,1.0109136122075784,0.8775576188214416,0.8901734026480579,0.8832124428499825,91819.3897194955,1.6381635092977698,0.9754160363086233,167.01775,40162.98557722949,282.2059442742976,-0.0229173483595301
2007 Q1,6718.5848,66.31,3447.9129,2086.1906,1403.0143,70.9751221504146,1.5897634742148,90.7811278406231,3.96666666666667,1371.1111,9381.7,338830.41,43883,142220,166.36,114.610789798047,142.22,29.986275000000003,9101.80741969537,10194.167,71678.85670088595,1.2287243361686395,5199.687679083094,5522.0143,38827.26972296442,1.1486861990683677,1.0338893205014896,0.8483893332221897,0.8676811917853712,0.8570170109928186,92942.57881747847,1.6582024945271183,1.015897634742148,173.50884,38503.00612530232,270.7284919512187,-0.100443872283184
2007 Q2,7689.2244,69.01,3835.2949,2405.5123,1715.4415,72.4538321257695,8.85496183206108,91.5320785593435,3.33333333333333,1419.3383999999999,10827.4,405839.81,50715,142151,178.18,114.136721342562,142.151,29.909505000000003,10142.230981017245,10490.154,73795.85089095398,1.2650140093105948,5557.592957542384,5678.1407,39944.43021857039,1.1817368578605818,1.0208342012039249,0.8325083816490902,0.8711213030510283,0.8496677286247786,105126.66848900447,1.8755806665546313,1.0885496183206107,179.34575,43848.599299787806,308.46493728350697,-0.0042619349522841
2007 Q3,8786.109199999999,72.55,4205.6188,2558.2696,1915.2505,73.9373654343773,5.36465638148667,92.3478997922215,4.96666666666667,1442.5,11461.8,425377.75,55447,142099,181.38,113.899687114819,142.099,29.79625,11224.107649896621,10610.297,74668.34390108305,1.2799703499112307,5796.855685733977,5799.3315,40811.90930266927,1.2074008115455739,1.0204755672002634,0.8070445869160098,0.8585357920720573,0.8298219595509483,109093.23815016919,1.9463488310551627,1.0536465638148667,183.79358,47470.83844443512,334.0687720844983,0.0425865305321462
2007 Q4,9675.310599999999,76.16,4728.7888,2978.7896,2128.5045,76.4750687254155,3.52745424292848,93.4732813867325,5.46666666666667,1518.0146000000002,12869,478762.32,68521,142047,204.6,113.833317531051,142.047,29.614615,11587.480961134454,10700.296,75329.26425760488,1.2912998962196554,6209.018907563025,5741.6851,40421.02332326624,1.1958366368520332,1.0343223385919873,0.7590200890770776,0.8562614709879813,0.8013314353836984,118465.76383263436,2.1135654680843965,1.0352745424292848,192.99194,57010.953544390155,401.35274623462766,0.194889709128618
2008 Q1,8929.8515,80.73,4358.4462,2921.9236,1816.0465,80.1017919983035,5.85020893603341,95.7244278795978,3.8,1738.2382,12973.8,512583.83,74200,141980,199.9,114.971081824215,141.98,29.687865000000002,9691.532763532763,10900.891,76777.65178194112,1.3161282637643765,5398.793756967671,5714.1139,40245.90717002395,1.1906559092371736,1.0474236026633699,0.7218619169472409,0.8367951968034992,0.7714866266327269,114076.9220582755,2.035263483451298,1.058502089360334,208.71978,60658.925793417606,427.2357077998141,0.227453809415158
2008 Q2,10329.5661,85.91,4838.5345,3307.1012,2239.5285,83.2195019463416,9.50501062860614,98.5182613212995,3.86666666666667,1824.9847,13841.2,568966.12,85049,141891,211.69,114.241016402769,141.891,29.606360000000002,10781.042253521127,11166.29,78696.2527573983,1.3490170655456133,5632.096961936911,5800.8404,40882.37027013694,1.2094853655582718,1.0389218501891209,0.6913097212747453,0.8322216864188888,0.7514974791385998,117217.85836257512,2.0913013993473974,1.0950501062860614,212.82203,67880.9509173029,478.4020897541274,0.312420048132123
2008 Q3,11754.9046,91.22,5309.9153,3675.1596,2569.7138999999997,84.9865352502244,8.51358846367165,98.9810848167492,5.76666666666667,1859.4297,14045.7,556813.28,90105,141817,214.65,113.330804968237,141.817,29.764265,11674.478074983555,11008.629,77625.59495688105,1.3306637692494117,5820.999013374259,5826.6854,41085.944562358534,1.215508013599933,1.0212334039805016,0.703094348874607,0.8078877358842691,0.748454563874569,116537.30483058437,2.0791595416674804,1.0851358846367165,217.74557,73442.0050352327,517.8646074534978,0.365044657292131
2008 Q4,10867.8725,86.7,5676.7712,3019.3693,2485.6976,86.9968352167194,-16.7901865576284,100.146832707874,8.46666666666667,1937.1916,12975.9,426283,60785,141805,226.46,111.282829240542,141.805,31.177205000000004,11919.493425605535,10960.761,77294.60174182856,1.3249898587385502,6547.6023068050745,6074.1042,42834.20330735869,1.2672294121713734,1.0236543348964176,0.749986638125335,0.775770700645166,0.7614816761754591,105182.25845303234,1.8765724554440133,0.832098134423716,212.88293,53147.77575475415,374.7947939406519,0.0168492648285933
2009 Q1,8380.9475,83.44,4904.936,2223.9715,1713.584,91.0980418150326,-7.2788697788698,87.8962587104478,11.4333333333333,1937.2296000000001,11581.6,383808.16,34845,141900,199.06,106.143927183085,141.9,38.670925000000004,9432.598274209013,10644.904,75016.9415081043,1.2859460362292277,5878.398849472675,6161.4443,43421.03100775193,1.2845904289382581,1.0471420206045037,0.8880439525738317,0.9086323384079177,0.8972503550367285,89593.62819189223,1.59845336391282,0.927211302211302,208.43114,30609.163085703272,215.70939454336343,-0.559230281576699
2009 Q2,9389.5951,87.9,5129.281099999999,2535.1865,1883.5809,93.5659651072339,7.28718118582312,91.909636708142,7.5,2010.8802,12650.5,412511.51,42013,142129,204.63,103.252109604627,142.129,37.41272000000001,9940.829920364049,10331.279,72689.45113242196,1.2460480216901115,5835.359613196813,6018.8616,42347.87833587798,1.2528417205569973,1.027090848969204,0.8285090435934096,0.8792446003036118,0.8509672744031838,95127.72025720288,1.6971879308292601,1.0728718118582312,205.66485,36170.55188716564,254.49100385681768,-0.415714390632207
2009 Q3,10636.506599999999,90.33,5385.3360999999995,2939.1063,2089.9208,94.7004084216599,4.84717505402903,91.9498765877921,6.76666666666667,2025.2615,13101.9,413362.2,52760,142434,205.04,101.204133876932,142.434,37.372635,10835.072622606,10194.825,71575.78246766924,1.2269574299341581,5961.846673308978,5930.7292,41638.43745173203,1.2318532514092086,1.012124529609948,0.8013930665838116,0.8861177969069293,0.8384674854912679,97133.4372888419,1.7329722293444838,1.0484717505402903,208.52666,44215.32492959086,310.4267585660086,-0.237485860170979
2009 Q4,11095.0315,90.86,5783.3793,3143.7619,2267.2414,94.9942884167619,0.206124852767962,95.1388243588148,5.4,2093.3213,15267.6,439446.59,61091,142738,226.36,100.464587086375,142.738,35.8113,11246.435174994496,10316.92,72278.72045285768,1.2390072455837389,6365.154413383227,5929.6678,41542.32089562695,1.2290096890807818,1.0031032600598033,0.752987947932004,0.8644578058451078,0.8012501501308412,112598.77665262876,2.00889166947645,1.0020612485276796,211.95384,50256.22806209213,352.08723719046174,-0.130248633026663
2010 Q1,9968.8706,95.37,5340.6145,3032.3872,1782.1618999999998,97.6698950388351,1.02850426094622,98.4877566328407,3.8,2096.2374,15639.4,447438.23,61946,142962,205.99,99.4595619607471,142.962,35.016365,9141.916011324316,10347.427,72378.86291462068,1.2407238951721316,5599.889378211176,5910.8834,41345.835956407995,1.2231967761560258,1.0281659736250108,0.7462227839583454,0.7963429690559813,0.7683741491673961,112005.34582000587,1.9983041809485385,1.0102850426094623,216.21245,52894.85073622005,369.99238074607274,-0.097998281932166
2010 Q2,11159.8209,99.5,5720.772599999999,3276.614,2274.8495,99.1011450149809,5.87550901687028,102.551596986918,2.9,2145.4147000000003,16900.9,461197.2,61797,143051,216.91,99.3268227932113,143.051,33.958214999999996,10209.10190954774,10635.717,74349.127234343,1.2744983138745665,5749.520201005024,5943.4509,41547.77596801141,1.2291710747874682,1.0146539522293612,0.7473960267546239,0.7419315482209276,0.7449320484975962,119217.56897241638,2.126978536390076,1.0587550901687028,217.53665,55030.609824456325,384.69224139961506,-0.0747255791678984
2010 Q3,12200.2184,99.79,6125.730799999999,3354.1868999999997,2753.4462000000003,100.529028324516,1.12637362637362,100.885440886564,2.6,2167.5432,17690.2,490094.46,59063,143037,216.26,99.0613444581398,143.037,34.627700000000004,11623.887864515482,10893.989,76162.03499793759,1.305575314692999,6138.621906002605,6027.7426,42141.14250159049,1.2467255398058572,1.0144083432065216,0.7467101608865951,0.7496536887644455,0.7480333154314447,123024.85596911838,2.194904914973889,1.0112637362637362,220.57884,52227.23599892571,365.1309521237561,-0.141008404766112
